TOMBO,MODELO,LOCALIDADE,SUBLOCALIDADE,TROCADO EM ,TROCA EM 6 MESES (INTERNO),OBSERVAÇÕES
34331,	BEBEDOURO INDUSTRIAL PISO MODELO BIXB2004T - MARCA NARDIN,FTN - TÉRREO VARAS,,,,DEFEITO
39606,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",2ª VT NATA,,20/03/25,20/09/25,
39607,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA,,,
39608,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",TRT-21ª RE,,,,BAIXADO
39609,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA,,,
39610,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA DJN,,,
39611,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEZEL,COPA -SUB. CORTE ,,,
39612,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA,,,
39613,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SDP,,19/02/25,19/08/25,
39614,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DESFAZIMENTO-EL,,,
39615,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DESFAZIMENTO-EL,,,
39616,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA,,,
39617,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA DJN,,,
39618,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DESFAZIMENTO-EL,,,
39619,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DESFAZIMENTO-EL,,,
39620,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA,,,Purificador com defeito na placa
39621,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA DJN,,,
39622,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA,,,
39623,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA DJN,,,
39624,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",CSI,MONITORAMENTO ,,,
39625,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA,,,
39626,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",CJUR,,,,
39627,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEREP,DEP-RESERVA DJN,,,
39628,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",CCS,,,,
39629,"PURIFICADOR DE ÁGUA, L MARCA: EUROPA MODELO: SUMMERLINE PLUS HF INOX.",SEZEL,COPA SUB ADM,14/01/25,14/07/25,
