TOMBO,MODELO,LOCALIDADE,SUBLOCALIDADE,TROCADO EM ,TROCA EM 6 MESES (INTERNO),OBSERVAÇÕES
34331,BEBEDOURO DE PISO NARDIN,FTN - TÉRREO VARAS,,,,DEFEITO
39606,EUROPA MODELO PLUS HF INOX,2ª VT NATA,,20/03/25,20/09/25,
39607,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,
39608,EUROPA MODELO PLUS HF INOX,TRT-21ª RE,,,,BAIXADO
39609,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,
39610,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA DJN,,,
39611,EUROPA MODELO PLUS HF INOX,SEZEL,COPA -SUB. CORTE ,,,
39612,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,
39613,EUROPA MODELO PLUS HF INOX,SDP,,19/02/25,19/08/25,
39614,EUROPA MODELO PLUS HF INOX,SEREP,DESFAZIMENTO-EL,,,
39615,EUROPA MODELO PLUS HF INOX,SEREP,DESFAZIMENTO-EL,,,
39616,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,
39617,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA DJN,,,
39618,EUROPA MODELO PLUS HF INOX,SEREP,DESFAZIMENTO-EL,,,
39619,EUROPA MODELO PLUS HF INOX,SEREP,DESFAZIMENTO-EL,,,
39620,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,Purificador com defeito na placa
39621,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA DJN,,,
39622,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,
39623,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA DJN,,,
39624,EUROPA MODELO PLUS HF INOX,CSI,MONITORAMENTO ,,,
39625,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,
39626,EUROPA MODELO PLUS HF INOX,CJUR,,,,
39627,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA DJN,,,
39628,EUROPA MODELO PLUS HF INOX,CCS,,,,
39629,EUROPA MODELO PLUS HF INOX,SEZEL,COPA SUB ADM,14/01/25,14/07/25,
39630,EUROPA MODELO PLUS HF INOX,SEREP,DEP-RESERVA,,,
