TOMBO,MODELO,LOCALIDADE,SUBLOCALIDADE,TROCADO EM ,TROCA EM 6 MESES,OBSERVAÇÕES
34331,BEBEDOURO INDUSTRIAL DE PISO,FTN – TÉRREO VARAS,,,,DEFEITO
39606,EUROPA SUMMERLINE PLUS HF INOX.,2 VT NATA,,20/03/25,20/09/25,
39607,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39608,EUROPA SUMMERLINE PLUS HF INOX.,TRT-21º RE,,,,BAIXADO
39609,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39610,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA DJN,,,
39611,EUROPA SUMMERLINE PLUS HF INOX.,SEZEL,COPA -SUB. CORTE ,,,
39612,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39613,EUROPA SUMMERLINE PLUS HF INOX.,SDP,,19/02/25,19/08/25,
39614,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39615,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39616,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39617,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA DJN,,,
39618,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39619,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39620,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,Purificador com defeito na placa
39621,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA DJN,,,
39622,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39623,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA DJN,,,
39624,EUROPA SUMMERLINE PLUS HF INOX.,CSI,MONITORAMENTO ,,,
39625,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39626,EUROPA SUMMERLINE PLUS HF INOX.,CJUR,,,,
39627,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA DJN,,,
39628,EUROPA SUMMERLINE PLUS HF INOX.,CCS,,,,
39629,EUROPA SUMMERLINE PLUS HF INOX.,SEZEL,COPA SUB ADM,14/01/25,14/07/25,
39630,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39631,EUROPA SUMMERLINE PLUS HF INOX.,SDP,,19/02/25,19/08/25,
39632,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39633,EUROPA SUMMERLINE PLUS HF INOX.,,,,,
39634,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39635,EUROPA SUMMERLINE PLUS HF INOX.,12º VT DE,,,,
39636,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39637,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39638,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIAMENTO EL,,,
39639,EUROPA SUMMERLINE PLUS HF INOX.,2º VT MOSS,,,,
39640,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39641,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA DJN,,,
39642,EUROPA SUMMERLINE PLUS HF INOX.,FTM,,,,
39643,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA DJN,,,
39644,EUROPA SUMMERLINE PLUS HF INOX.,TRT-21º RE,,,,
39645,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39646,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39647,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39648,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39649,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39650,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39651,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39652,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39653,EUROPA SUMMERLINE PLUS HF INOX.,VT GOIANIN,,,,
39654,EUROPA SUMMERLINE PLUS HF INOX.,VT GOIANIN,,,,
39655,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39656,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DESFAZIMENTO-EL,,,
39657,EUROPA SUMMERLINE PLUS HF INOX.,TRT-21º RE,,,,BAIXADO
39658,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39659,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39660,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
39661,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,, AJAD
39662,EUROPA SUMMERLINE PLUS HF INOX.,SEREP,DEP-RESERVA,,,
